,Title,Company,Location,Package,Description,Skills,Min_Experience,Max_Experience
84,Data Science Software Development Engineer,Accenture,"India, Hyderabad",Not Specified,"About Accenture: Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Int",['Software Engineering'],4,6
85,Data Science Internship in Pune,Maxgen Technologies Private Limited,"Pune, Nashik",Not Specified,Internship with Proffesional.,"['Internship', 'Live Projects', 'Bsc', 'Academic Projects', 'B - Tech', 'Bca', 'Msc', 'Projects', '', '', '', '']",,
86,Senior Analyst-Data Science,Accenture,"Bengaluru / Bangalore, India",Not Specified,"Skill required: Data Science - Predictive Modeling and Analytics Designation: Senior Analyst About Accenture Operations In today's business environment, growth isn't just about building value-it's fundamental to long-term business survival. So how d",['Analytics and Insights'],5,8
87,Data Science Internship in Mumbai,Maxgen Technologies Private Limited,"Mumbai, Navi Mumbai",Not Specified,Internship with Professional team.,"['Internship', 'Live Projects', 'Bsc', 'Academic Projects', 'B - Tech', 'Bca', 'Msc', 'BE', 'Projects', '', '', '']",,
88,"Data Scientist, Buyer Abuse Data Science",Amazon,"Bengaluru / Bangalore, India",Not Specified,DESCRIPTION Job summary Amazon Science gives you insight into the company's approach to customer-obsessed scientific innovation. Amazon fundamentally believes that scientific innovation is essential to being the most customer-centric company in the,[],4,7
89,Team Lead/Consultant-Data Science,Accenture,"Bengaluru / Bangalore, India",Not Specified,"Skill required: Data Science - Natural Language Processing (NLP) Designation: Team Lead/Consultant About Accenture Operations In today's business environment, growth isn't just about building value-it's fundamental to long-term business survival. So",['Analytics and Insights'],7,11
90,Data Science and Advanced Analytics Lead,Qualcomm,"India, Hyderabad",Not Specified,"Company: Qualcomm India Private LimitedJob Area: Information Technology Group, Information Technology Group > IT Management General SummaryJob Overview - Data Science and Advanced Analytics Lead Qualcomm's ""Data Science & Advanced Analytics"" team is",['Data Science and Advanced Analytics Lead'],10,13
91,Principal Data Scientist – Optimization,GE Digital,"Bengaluru / Bangalore, India",Not Specified,"Job Description Summary The Principal Data Scientist will guide, lead, and work in teams as technical domain expert addressing optimization, machine learning, and data understanding problems in a commercial technology and consultancy development envi","['Communications Skills', 'scikit-learn', 'prescriptive analytics', 'CPLEX', 'customer needs', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",12,15
92,"Sr. Data Scientist, Search Science and AI",Amazon,Bengaluru / Bangalore,Not Specified,"Job Description : Job summary The Amazon Search org creates powerful, customer-focused search and advertising solutions and technologies. Whenever a customer visits an Amazon site worldwide and types in a query or browses through product categories,","['Sr. Data Scientist', 'Search Science and AI']",8,11
93,Data Science Engineer,FactSet Philippines Inc,"India, Hyderabad",Not Specified,"VALUES THAT DEFINE OUR CULTURE We are unified by the spirit of going above and beyond for our clients and each other. We look to foster a globally inclusive culture, enabling our people to be themselves at work and to join in, be heard, contribute,",[],,
94,"Advisor, Data Science",DELL,"India, Bengaluru / Bangalore",Not Specified,"Job Description : Data Science Advisor Data Science is all about breaking new ground to enable businesses to answer their most urgent questions. Pioneering massively parallel data-intensive analytic processing, our mission is to develop a whole new",[],5,8
95,ACN - Applied Intelligence - Solutions.AI - Data Science - 09,Accenture,"Bengaluru / Bangalore, India",Not Specified,"About Accenture: Accenture is a leading global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries,we offer Strategy and Consulti",['Analytics and Insights'],4,7
